Source,Target,Weight,Type
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_AhmadIbnTulun,16,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_AminWaMamun,36,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_CabbasaUkhtRashid,11,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_CarusFarghana,15,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_FathAndalus,11,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_InqilabCuthmani,18,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_Ramadan17,3,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_SalahDinAyyubi,5,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_SharlWaCabdRahman,1,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_AbuMuslimKhurasani,16,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_AminWaMamun,23,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_ArmanusaMisriyya,5,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_CabdRahmanNasir,1,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_CarusFarghana,36,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_HajjajIbnYusuf,2,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_ShajaratDurr,4,undirected
1331JurjiZaydan_AhmadIbnTulun,1342MustafaLutfiManfaluti_Shacir,12,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_AbuMuslimKhurasani,36,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_AhmadIbnTulun,23,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CabbasaUkhtRashid,5,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CadhraQuraysh,17,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CarusFarghana,18,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_GhadatKarbala,7,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_HajjajIbnYusuf,1,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_InqilabCuthmani,1,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_IstibdadMamalik,2,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_JihadMuhibbin,5,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_Ramadan17,2,undirected
