Source,Target,Weight,Type
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_AhmadIbnTulun,3,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_AminWaMamun,6,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_CabbasaUkhtRashid,2,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_CarusFarghana,2,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_FathAndalus,2,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_InqilabCuthmani,3,undirected
1331JurjiZaydan_AbuMuslimKhurasani,1331JurjiZaydan_SalahDinAyyubi,1,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_AbuMuslimKhurasani,3,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_AminWaMamun,4,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_ArmanusaMisriyya,1,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_CarusFarghana,6,undirected
1331JurjiZaydan_AhmadIbnTulun,1331JurjiZaydan_ShajaratDurr,1,undirected
1331JurjiZaydan_AhmadIbnTulun,1342MustafaLutfiManfaluti_Shacir,2,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_AbuMuslimKhurasani,6,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_AhmadIbnTulun,4,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CabbasaUkhtRashid,1,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CadhraQuraysh,3,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_CarusFarghana,3,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_GhadatKarbala,1,undirected
1331JurjiZaydan_AminWaMamun,1331JurjiZaydan_JihadMuhibbin,1,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_AhmadIbnTulun,1,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_AsirMutamahdi,6,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_CadhraQuraysh,2,undirected
1331JurjiZaydan_ArmanusaMisriyya,1331JurjiZaydan_CarusFarghana,2,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_ArmanusaMisriyya,6,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_FatatGhassan,3,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_FathAndalus,3,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_JihadMuhibbin,2,undirected
1331JurjiZaydan_AsirMutamahdi,1331JurjiZaydan_MamlukSharid,3,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_AbuMuslimKhurasani,2,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_AminWaMamun,1,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_FathAndalus,6,undirected
1331JurjiZaydan_CabbasaUkhtRashid,1331JurjiZaydan_SharlWaCabdRahman,2,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_FatatGhassan,2,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_GhadatKarbala,1,undirected
1331JurjiZaydan_CabdRahmanNasir,1331JurjiZaydan_SalahDinAyyubi,3,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_AminWaMamun,3,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_ArmanusaMisriyya,2,undirected
1331JurjiZaydan_CadhraQuraysh,1331JurjiZaydan_GhadatKarbala,1,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AbuMuslimKhurasani,2,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AhmadIbnTulun,6,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_AminWaMamun,3,undirected
1331JurjiZaydan_CarusFarghana,1331JurjiZaydan_ArmanusaMisriyya,2,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_AsirMutamahdi,3,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_CabdRahmanNasir,2,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_GhadatKarbala,5,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_HajjajIbnYusuf,3,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_IstibdadMamalik,1,undirected
1331JurjiZaydan_FatatGhassan,1331JurjiZaydan_Ramadan17,1,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_InqilabCuthmani,3,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_SalahDinAyyubi,3,undirected
1331JurjiZaydan_FatatQayruwan,1331JurjiZaydan_ShajaratDurr,6,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_AbuMuslimKhurasani,2,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_AsirMutamahdi,3,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_CabbasaUkhtRashid,6,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_MamlukSharid,2,undirected
1331JurjiZaydan_FathAndalus,1331JurjiZaydan_SharlWaCabdRahman,3,undirected
1331JurjiZaydan_FathAndalus,1349JibranKhalilJibran_ArwahMutamarrida,1,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_AminWaMamun,1,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_CabdRahmanNasir,1,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_CadhraQuraysh,1,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_FatatGhassan,5,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_HajjajIbnYusuf,6,undirected
1331JurjiZaydan_GhadatKarbala,1331JurjiZaydan_Ramadan17,3,undirected
